RESTAURANT;DIRECCION;NOMBRE_PLATO;DESCRIPCION_PLATO
Ostras Condell;Av. Manuel Montt 1807, Providencia, Región Metropolitana, Chile;Pisco Sour 500cc;Pisco Sour de la casa hecho con pisco Taberno Quebranta. Botella de 500 cc
Combinados;duble almeyda 4290 nunoa region metropolitana chile;Papas Saltado Mar y Tierra;Exquisito saltado mar y tierra sobre una cama de papas fritas, acompañada de deliciosas salsas de la casa.
cafe peumo;av los leones 1566 providencia region metropolitana chile;Desayuno U Once 6 Día Del Padre;1 Jugo natural 300 cc + 1 café capucccino + 1 ave palta + 1 canasta de bollería francesa + 1 tazón + 1 caja con diseño.
Los Roques Bistro;Sta Isabel 306, Santiago, Región Metropolitana, Chile;Cachapa Full Queso;Cachapa full queso cheddar, queso de mano, queso parmesano, nata 18 centímetros aproximado.
La Fragazza Pizza;Herboso 792, Santiago, Región Metropolitana, Chile;Franui;Frambuesas frescas bañadas en doble cobertura de chocolate: blanco y negro.
Restaurante El Txoko Alavés;Mosqueto 485, Santiago, Santiago Centro, Chile_;Paella;Pollo, cerdo,carne de vacuno,mariscos  y verduras como pimenton, zanahoria y cebolla
Desayunos Ubanda;Manuel Antonio Tocornal 601, departamento 704 Santiago Región Metropolitana Chile;Quesillo;Flan de huevo leche condensada vainilla y leche.
Jing Shun Comida China;Monjitas 719, Santiago, Chile;Sprite Zero 350 ml;Bebida
La Tía Peta;Santo Domingo 579 Santiago;Inca Kola Original 500 ml;Bebida
Il Maestrale;Constitución 50 Local 33/34, Providencia;Pie Limón;Tarta de limón cubierta de merengue
Bizcochitos Pastelería;Carmen 237, departamento 1810. Santiago, chile.;Ponche de Crema 300ml;Cremosa bebida venezolana típica de navidad. Hecha a base de leche y flan.
Super Taco;Los Militares 5934, Las Condes, Chile_ local I-j;Extra Queso Mantecoso;Queso mantecoso cortado en hebras.
Lui Kung;Monjitas 753, Santiago, Región Metropolitana, Chile_;Chaumin de Carne;Fideos chinos salteados con surtido de verduras (brócoli, coliflor, apio, zapallo italiano, pimento, zanahorias) y carne.
Tanaka;Alonso de Córdova 4248, Vitacura, Chile_;Coca-Cola Sin Azúcar 350 ml;Bebida
Goemon;Avenida Manuel Montt 38 Providencia Entre Providencia;Salsa Tonkatsu;Salsa.
Gaman Asian Food;Santa isabel 0306;Kani Salad;Ensalada de kanikama, salsa dinamita, coronada con wakame y masago
ming zhu limitada;av francisco bilbao 3485 providencia region metropolitana chile;Fanta Original 1.5 Litros;Bebida
arabitodeluxe;Jose Manuel Infante 1373, Distrito Pop;Limonada Frapé;Limonada frapé, 200 ml
Sushi To Taste;La Gloria 11, Las Condes, Chile_;Sprite 350 ml;Bebida
Fruits Life;Bellavista 366, Providencia, Chile_;Vegan Crispy;120gr receta del abuelo.
Panaderia La Colmena;Los Pozos 7170, Las Condes, Región Metropolitana, Chile-;Bebidas de 1.5Lt, Coca,fanta ,Spray;Bedidas.
mazamiel panaderia;Avenida Condell 1807, Ñuñoa, Chile;Brazo de Reina;Relleno de manjar.
Verace Pizza;José Miguel de La Barra 486, Santiago, Chile_;Fanta Naranja 1,5 l;Gaseosas
Moonbunny Cafe;Antonio Varas 497, Providencia, Santiago, Región Metropolitana, Chile_;Torta Red Velvet;Bizcocho red velvet con manjar casero y cobertura frosting de queso crema.
Mi Ensalada;paseo orrego luco 42 providencia xmetropolitana de santiago chile;Agua Vital Gasificada 330 ml;Bebida .
mi ceviche;paseo orrego luco 42 providencia region metropolitana chile;Vital con Gas 330 ml;Agua
Under Coffee;las urbinas 23 Local 9L  providencia region metropolitana chile;Mexican Bowl;Repollo morado, cilantro y cebollín. Cherry con cebolla encurtida, choclo, chilli de porotos, arroz integral y chips de maiz.
W.O.K;Avenida Andrés Bello 2447, Providencia, Santiago, Chile_;Fanta Sin Azúcar 350 ml;Bebida
Rongji Comida China;Av. Apoquindo 4248, Las Condes, Santiago Metropolitan Region, Chile_;Agua con Gas 350ml;Agua con gas 350ml.
Punto G Sushi;Francisco Contreras 6574, La Reina, Chile_;Rollitos Camarón Queso;4 rollitos fritos de camarón  queso .
Waffleland;San Francisco 242, Santiago, Chile_;Box Especial Kids;Waffle con nutella, banana, frutilla, mini churros pasados por azúcar, canela, churro grande con manjar, 2 topping de nutella. Incluye sorpresa!.
Sumogusto;Marcel Duhaut 2995, Providencia, Chile_;Torta Negra (250 Gr);Torta hecha con cacao y frutos macerados en ron con especias (nuez moscada, clavo y canela).
lomo luco bar;orrego luco providencia region metropolitana chile;Mojito Royal;Espumante, menta, azúcar flor y limón. .
Master Pollo.;Av. Grecia 6218, Penalolen, Peñalolén, Región Metropolitana, Chile;Inca Kola Original 500 ml;Bebida
Bondona 'Helados & Donas';Avenida Presidente Jose Batlle y Ordoñez 3635, Ñuñoa, Región Metropolitana, Chile_;Empanaditas de Queso Jamón;10 ricas empanaditas queso jamón..!.
Mi Gohan;Paseo Orrego Luco 42, Providencia, Región Metropolitana, Chile;Nordic Mist Ginger Ale 350 ml;Bebida.
Arana Chicken;Av. Manuel Montt 2559, Ñuñoa, Santiago, Región Metropolitana, Chile;Tamal Tolimense Colombiano;Preparación de harina ,verduras, proteína pollo, cerdo, huevo cocido.
Alma Café;Av. Francisco Bilbao 2985, Providencia;Bolsa Pan Brioche de Zapallo con Merkén;Bolsa con 6 unidades de pan brioche de masa madre, de zapallo con merkén (picante), de aprox 670 gramos.
Everyday;sta magdalena 134 providencia region metropolitana chile;Bibim Bap Mixto;Bibim con 2 proteínas a elección, verduras salteadas, brócoli, zanahoria, pimentón con una yema de huevo en una base de arroz blanco, acompañado con salsa gouchujang (salsa picante coreana)
Dopi Helados;Hernando de Magallanes 1866 Las Condes;Galleton Chocolate Chips de Chocolate;Maxi galletón de chocolate con chips de chocolate 56% cacao.
Maguro Sushi;av las condes 6716 las condes region metropolitana chile;Beta Roll;Zanahoria tempurizada, palta, palmito, envuelto en quinoa crocante, acompañado de salsa de betarraga
Sweets;Tajamar 287, Las Condes, Chile_(esquina Vitacura con tajamar);Pudin de chocolate y oliva nueces confitadas y sal de mar;Cremoso de chocolate ecuador 56% cacao perfumado con aceite de oliva acompañado de nueces caramelizadas y flor de sal
Garage 0276;Av. Nueva Providencia 1945 Local 101, Providencia;Kross Lager 330 ml;Cerveza
Coffe & Restaurant Smart;Monjitas 560, Santiago, Región Metropolitana, Chile_;Piña Colada;Ron, jugo de piña, leche de coco, rodajas de piña natural.
Cerezo Café;av condell 847 providencia region metropolitana chile;Desayuno Americano;Waffles, tocino, huevo, mantequilla y mermelada.
Wenos Pal Dulce Bakery;Gral Salvo 154, Providencia, Región Metropolitana, Chile;Del Valle Naranja 300ml;Jugos
Pizzas Stefano Nardini;Las hualtatas 8842;Lasagna Bolognesa;Masa artesanal, salsa bolognesa, salsa bechamel y mozzarellacongelada y al vacío6-8 porciones.
Crepe Mania;Mall Plaza;Crepe Dulce Especial Marshmallow;Nutella marshmallow fundido y chispas de colores.
Roberto Muñoz Patisserie;Suecia 994, Providencia, Región Metropolitana, Chile;Rollito de Canela;Rollito de canela.
Veggissima;LOS CONQUISTADORES 1730;2 Carrotcakes Muffin Vegano;2 muffin húmedos de zanahoria especiado con canela, linaza, jengibre y almendras decorados con crema vegetal y azúcar morena.
Matilda Pasteleria;San Pablo 1744, Santiago, Región Metropolitana, Chile;Torta Triple Chocolate;Delicioso bizcocho húmedo de chocolate relleno y cubierto por ganache de chocolate y chispas.
El Sabor Parrillero;avenida portugal 927;Coca-Cola Sin Azúcar 350 ml;Bebida
Office Sandwich Huechuraba;Camino Al Bosque de Santiago 121, Huechuraba, Región Metropolitana, Chile;Sprite Zero 350 ml;Bebida
Personal Pizza;manquehue sur 520;Personal Pizza Salame;Pizza con base salsa de tomates casera, masa madre a la piedra, queso 100% mozzarella y salame.
Totti Waffles;condell 1145;Coca-Cola Light 355 ml;Bebdias
Burger Truck;Orrego Luco 145, Providencia, Región Metropolitana;Onion Rings;5 un aros de cebolla crocante.
Cocineria PyC;Av. Italia 1853, Ñuñoa, Región Metropolitana, Chile;Pizza Champiñón Mediana;Base de salsa de tomate, queso y champiñón .
Gaufrette;Cleveland 8643, Vitacura, Región Metropolitana, Chile;Platandano;Base de crema pastelera, plátano, arándano y salsa a elección.
Sweetpaty;Av. José Pedro Alessandri 821, Ñuñoa, Región Metropolitana, Chile;Snicker;Mantequilla de mani, dátiles, cacao en polvo sin azúcar, coco, avena, esenciade naranja. Praliné, maní, panela, sal de mar, m.
Rincon de Jano;Seminario 595, Providencia, Región Metropolitana, Chile;Sprite 350 ml;Gaseosas
Hua Xing;Av. pedro de valdivia 2540 nunoa santiago de chile;Pebre;Ají en escabeche más cebollin y salsa de soya.
Pegli;Walter Scott 1667, Vitacura, Región Metropolitana, Chile;Miel de Tiaca;Miel desde Frutillar formato de 1 kilo
Del Beto;Manuel Montt 1828. Providencia.;Jugo Mango 300 ml;Jugo mango 300 ml.
La sucursal del cielo;Avenida Salvador 1130, Providencia, Chile, local 3;Sprite 1.5 l;Bebida
El Vegan;Almirante Simpson 59, Providencia, Región Metropolitana, Chile;Austral Patagonia Cerveza Hoppy Lager 470ml;Cervezas
Green Mint Restaurant;manuel antonio tocornal 601 santiago chile;Quesillo;Flan de huevo leche condensada vainilla leche.
Mr. Pop;Avenida Manquehue Sur 520, Las Condes, Chile local 113;Coca - Cola Zero 350 ml;Bebida gasificada
Topizzima Pizzas Artesanales;Noruega 6529, Las Condes, Región Metropolitana, Chile;Americana;Pizza tamaño individual 25cm de pepperoni.
Dalia Gelato;La Concepción 81, Providencia, Región Metropolitana, Chile;Filetitos de Polo Salteado con Papas Fritas;Deliciosos filetitos de pollo salteado en vegetales acompañado con 100 gr de papas fritas.
Fushimi Sushi;Erasmo Escala 1975 Santiago Centro;Coca-Cola Sin Azúcar 350 ml;Bebida
Actitud Sana;Humberto Trucco 33, Ñuñoa, Región Metropolitana, Chile;Cheesecake Frutos Patagónicos;Pastel de queso con mermelada de frutos patagonicos.
Mi lomo pe;Paseo Orrego Luco 43, Providencia, Región Metropolitana, Chile;Fruta Del Día;Mix de frutas del día .
Tentación Limeña;Calle Apolo 4 numero 1806, Vitacura;Sprite 355 ml;Bebida
Tutto Bueno;Valenzuela Castillo 1138A, Providencia, Región Metropolitana, Chile;Chocolate Manjar en Pote;Queque de chocolate con crema de manjar en pote - 200g.
El Palacio de las Tortas;Lira 399, Santiago, dpto 1206 Región Metropolitana, Chile;"Toppers de ""Feliz Cumpleaños""";Toppers elaborado en acrílico .
cafeteria y emporio riel;Av. Ricardo Lyon 146, Providencia, Región Metropolitana, Chile;Néctar Durazno 350 ml;Jugo
Tortaypastelstgo;Huerfanos 1490, Santiago, Región Metropolitana, Chile;Frapumocca;Café frio a base de leche, cacao y chips de chocolate coronado con chantilly.
Mr. Wong;Av. las Condes 6740, Las Condes, Región Metropolitana, Chile;Menú para 4 Personas.;1 wantan (8 unid) 1 arrollado primavera (4 unid)  4 arroces chaufan, 1 carne mongoliana (sin ají), 1 pollo chiten, 1 cerdo agridulce, 1 diente pollo.
Yuzu Sushi;Santa Victoria 365;Sake Karatamba Botella;Karatamba sake15.5 grados 300ml botella. .
Japonya;Av. Pedro de Valdivia 2153, Providencia, Región Metropolitana, Chile;Salsa Tarsiki;Pocillo pequeño .
Si! Acaí;capellan abarzua 4;Batido Sí! Acaí;Un litro congelado de batido sí! acaí para que disfrutes en casa.
Chikys;Pérez Valenzuela 1231, Providencia, Región Metropolitana, Chile;Chikys Strips;Tiras de 100% pechuga de pollo apanado y frito, 20 unidades.
Viveg;Sta. Isabel 0165, Providencia, Región Metropolitana, Chile;Empanada Pino Seitán;Masa integral, rellena con seitán, tofú, cebolla y aceitunas. 1 unidad.
maktub sushi;Emilio Vaisse 600, Ñuñoa;40 Piezas Tempura + Gyozas de Pollo;10 rolls kanikama queso cebollin env en panko 10 rolls pollo crispy queso cebollin 10 rolls camaron queso cebollin 10 rolls champiñon queso cebollin .
Sushi Rolls Liam;antonio varas 1484 providencia;Pastel de Lucuma;1 porcion de pastel.
Cafe y Market Dedalo;Pdte Errázuriz 4178, Las Condes, Región Metropolitana, Chile;Guallarauco Avena y Frutos Rojos 750 ml;Néctar de fruta con avena sin azúcar de 750 ml.
supreme sushi;Ventura Lavalle 387, Santiago, Región Metropolitana, Chile;Fanta sin Azúcar 1.5 L;Refrescos.
Black Apron;Luz 2943, Las Condes, Región Metropolitana, Chile;Hershey's Chocolate;Con cacao orgánico amazónico, chocolate belga bitter y topping de hershey's cremoso.
The Good Galletas;Carlos Antúnez 1960, Providencia, Región Metropolitana, chile;Combo Happy Christmas;1 mini panettone 250 grs. Y 1 caja random de 6 unidades de 60 grs. .
RESTO BAO;Av. Nueva Providencia 1346, Providencia, Región Metropolitana, Chile;Un Manjarsh;Waffles de autor con banana, manjar, salsa de chocolate, leche condensada, crema chantilly y helado.
Da Franco;Vicuña Mackenna 83, Providencia, Santiago, Región Metropolitana, Chile;Insalata Camaronata;Mix de lechuga hidropónica, aceitunas, champiñones salteados tomate cherry y camarones salteados, acompañada de un dressing mostaza.
Tortas Peruanas Ymv;Obispo Salas 245, Providencia, Región Metropolitana, Chile;Kem Piña 500 ml;Bebida
Acquarello Pastas;Providencia, francisco de bilbao 1134;Salsa Pesto;Salsa pesto de la casa.
Yashiro Sushi;Luis Uribe 2437, Ñuñoa;Promo Tabla 3 Personas;10 rolls de camarón, queso crema, cebollín envueltos en palta 10 rolls de champiñón tempura, palta, cebollin envueltos en queso crema, 10 rolls kanikama, queso crema, cebollín en panko.
Hoy Sushi Las Condes;Av. Apoquindo 7248, Las Condes, Región Metropolitana, Chile;Sushi Acevichado Maguro;Ceviches de atún, cebolla morada, pepino, tomate, cilantro y especias sobre 8 piezas palta, queso crema, cebollin, envuelto en palta.
Culture Resto-bar;Av. Providencia 455, local 104 Providencia, Región Metropolitana, Chile;Pepito Cheddar Lovers;25 cm de pan, carne y pollo, lechuga, cebolla caramelizada al vino tinto, queso fundido y tocino acompañado con papas fritas.
caprichos burger;manuel antonio tocornal 601 depto 704 santiago;Camarones en Coco y Gengibre;Racion de camarones con coco y genjibre acompañado con tostones.
Antojos Venezolanos;manuel antonio tocornal 601 depto 704, santiago;Triple Arepas;3  Arepas  1 con carne ,1 reina pepiada,1 queso gouda.
Super Gohan Bowl;Paseo Las Palmas 2230 LOCAL C-1, Providencia, Región Metropolitana, Chile;Servicios;Tenedor, cuchillo, sal y servilletas.
Tobu Sushi Las Condes;La Castellana Sur 53, Las Condes, Región Metropolitana, Chile;Pisco Sour 1 l;Pisco Sour
Colaciones el Peluche;Paseo Las Palmas 2230, LOCAL C-1 Providencia, Región Metropolitana, Chile;Chaufa de Vegetariano;Arroz con champiñon,tofu, huevo y mix de vegetales bebida de lata a eleccion.
Chips Dips;Huelén 110, Providencia, Región Metropolitana, Chile;Pastel de Nata Chocolate;Pastel típico de portugal (con cobertura de chocolate).
Dicaro's;Av Macul 2432, local 6, Macul;Sprite 1.5 l;Gaseosa
Pizza Station;Olivos 1121, Independencia, Región Metropolitana, Chile;Chorrillana Mas Bebida;Chorrillana mas bebida.
Cairo Cocina Árabe;General flores 84, Providencia;Dulce Arabe 5u;5 unidades. Preparación a la egipcia de fina masa horneada en base a miel y canela, rellenos con nueces, almendras y pistachos.
We Are Pizza;Geronimo Alderete 1121, Vitacura;Sprite 350 ml;Gaseosa
Embelecos;Av. Portugal 916, Santiago, Región Metropolitana, Chile;Torta de Piña Volteada;Queque de vainilla con topping de piña caramelizada, porción individual.
Empanadium Express;Av. Salvador 1130, Providencia, Región Metropolitana, Chile;Papas Gourmet a Lo Pobre;Papas fritas 500 gr cebolla caramelizada, huevo frito , y mechada.
La Muzza Pizzeria;Las Tranqueras 1395, Vitacura, Región Metropolitana, Chile;Coca-Cola Original 1.5 L;Bebida
Muru;Los barbechos 100 oficina 3 ,Nivel -1. Las Condes, Región Metropolitana, Chile;Mix Manjar Frutos Secos Vegano 6 Un;6 Bombones surtidos, rellenos con manjar vegano, endulzados con miel de caña, sin gluten. .
Don Julio;Texas 1125, Vitacura, Región Metropolitana, Chile;Ají de Gallina con Arroz;Plato preparado Ají de Gallina con Arroz
Vainilla Heladería;Av. Manuel Montt 570, Providencia, Región Metropolitana, Chile;Coca-Cola Sin Azúcar 350 ml;Bebida
Star Wraps;Nueva Los Leones 050, Providencia;Sprite Sabor Original 350ml;Sprite sabor original 350ml
Sabro Pollo;Teatinos 455, Santiago, Región Metropolitana, Chile;Pollo Truto Arroz y Papas Fritas;Pollo truto arroz y papas.
All Star Burger;Av. Los Leones 2477, Las Condes, Región Metropolitana;Nachos;Ración de nachos con salsa jalapeño.
Burritos Kahlo;Avenida Los Leones 2477, Región Metropolitana;Papas Mixtas;500 gr de papas, 120 gr de pollo, 120 gr de carne, 40gr de camaron, champiñon y cebolla salteadas al grill, mas queso mozzarella y salsa de la ranch.
Burger Sin;Av. Los Leones 2477, Las Condes;Nachos;Racion de nachos con salsa de cheddar jalapeño.
Kazoku NH;Almirante pastene 202, Providencia, Región Metropolitana, Chile;Ebi Furai Cheese;Roll relleno con camaron furai, palta, 1 salsa, 1 palillo. .
Tu Mundo Dulce;vasco de gama 4702;Box Brownie y Chocochips;Delicioso brownie con nueces junto a 8 galletas con chispas de chocolate.
Torta Caluga;Bartolome de las Casas 2478, vitacura;Caja Galletas Almendra Mix Chocolate;Caja 20 galletas crujientes de almendra bañadas en chocolate blanco y semiamargo.
Jeyde Sushi Rolls;San Martín 95, Santiago, Región Metropolitana, Chile;Prika Roll;Pimenton,queso crema,cebollin.
Emporio Criollo;Av. Condell 1401, Providencia, Región Metropolitana, Chile;Jugos Naturales;Jugos naturales: frambuesa - maracuyá - mango - durazno - limonada tradicional.
Cocina Austral;Av. Apoquindo 3415, Las Condes, Región Metropolitana, Chile;Sprite 350 ml;Bebida
ANGUS BURGERS;Bellavista 22, Providencia, Región Metropolitana, Chile;Pepsi Zero 350 ml;Bebida
Prana Sopas;Pucará 4083, Ñuñoa, Región Metropolitana, Chile;Sopa de Betarraga;Betarraga, ajo, agua filtrada, sal de mar, cúrcuma, cebolla, aceite de oliva, jugo de naranja natural, rabanito, puerro y apio.
El Otro Puerto Callao Vitacura;Av Vitacura 8151, Vitacura, Región Metropolitana, Chile;Risotto Criollo;Arroz arbóreo cocinado en caldo de crustáceo, con camarones y filete a la plancha, salsa de soya y carne.
Seven Sushi;Av. Nueva Providencia 1965, Providencia, Región Metropolitana, Chile;Torta Chocolate;Bizcocho de chocolate.
Lazeez Comida Árabe Macul;Av Macul 2432, Macul, Región Metropolitana, Chile;Dulces Árabe 10 unid;Elige tu caja de 10 unidades de dulces árabes
Campo Lindo - CL;los militares 5953, Las Condes, Región Metropolitana, Chile;Bebida;Elige la bebida a elección.
Franco´s Chicken;Suecia 2695, Providencia;Torta Tres Leches;Bizcocho húmedo con la unión de leche evaporada, leche condensada y crema de leche. .
Dulcentorno;Avenida Libertador Bernardo O'Higgins 333, Local PE6, Santiago, Chile;Sprite Sin Azucar 350 ml;Gaseosa.
Callejero Restaurant;Carlos Alvarado 7479, Las Condes, Región Metropolitana, Chile;Nutella;4 oz (120 ml aprox)
American Wok;León Weinstein 5056, Ñuñoa, C;Coca-cola Original 350 ml;Bebida.
Escamas;León Weinstein, Ñuñoa, 5056;Combo Inka 3;1/2 pollo al carbón, papas fritas, ensalada, crema, 1 porción de arroz choufa ( 2 personas ).
Harley Curry;leon weinstein 5056;Shawarma de Vacuno - Falafel + Bebida;Carne de vacuno y falafel de garbanzo con especias árabes, tomate, lechuga, cebolla, pepinillos, perejil, salsa tahine en pan árabe, bebida 350 ml a elección elección.
Matilda Pizza;Orrego Luco 145 (Local Juicy Lucy), Providencia;Vital Con Gas 330 ml;Agua
Vburger;Irarrázaval 240, Ñuñoa, Región Metropolitana, Chile;Papasd Rusticas Grande;500 grs de papas rusticas horneadas.
Selfish;Roger de Flor 2833-2999, Las Condes, Región Metropolitana, Chile;Mineral Sin Gas 500 ml;Aguas
Picando Arepas;Cirujano Guzmán 89, Providencia, Región Metropolitana, Chile;Kunstmann Sin Alcohol 330 ml;Cerveza
Intense Sushi Bar;Av. Pdte. Riesco 5330, Las Condes, Región Metropolitana, Chile;Nordic Mist Agua Tónica 350 ml;Tónica
Okibo sushi;Ernesto Pinto Lagarrigue 127, Recoleta, Región Metropolitana, Chile;Coca-Cola Original 350 ml;Bebida
Samurai Sushi;Av Apoquindo 5400, Santiago, Las Condes, Región Metropolitana, Chile;Vegan Ramen;Fideos orientales cocinados con caldo de verduras, tofu y champiñones furay
Bilbao's;Av. Francisco Bilbao 1134, Providencia, Región Metropolitana, Chile;Fanta 1.5 l;Fanta 1.5 l.
Come Sano Ensaladas y Más;Av. Condell 1574, Ñuñoa, Región Metropolitana, Chile;Tajadas;Disfruta de un delicioso plátano maduro cortado en lonjas elongadas y con opción de queso llanero extra.
Jinsei Sushi Providencia;condell 1681;Coca-Cola Sabor Original 1.5 Lt;Gaseosa
Monster Cookies;Av. Condell 1097, Providencia, Región Metropolitana, Chile;Mini Cookies And Cream;Mini monstruosa galleta de nuestra masa única con trozos de oreo y con topping de glaseado de vainilla y galleta oreo en trozos.
Soja Sushi Santiago;Irarrázaval 4846;Vital Sin Gas 600 ml;Agua
Como en tu Casa;Av. Los Leones 2500, Providencia, Región Metropolitana, Chile;Ensalada Surtida;Lechuga, choclo, zanahoria.
Alaska Sushi Fusión;CATEDRAL 1289;Tabla Caliente 34 Piezas roll;8 toriniku: pollo, queso crema, cebollin, en panko, 8 okayama: camaron, queso crema, cebollin, envuelto en pollo apanado, 8 tempura roll: salmon, queso crema, cebollin, en tempura, 5 gyosas del chef: empanaditas orientales rellenas, escogidas por nuestro chef, 5 ebi mozzarella: camaron ecuatoriano relleno con queso
American Cake Shopp;Sta Isabel 598, Providencia, Región Metropolitana, Chile;Vital Sin Gas 1.5 L;Agua
Jewel of India;Diego de Velásquez 2073, Providencia, Región Metropolitana, Chile;Rogan Gosht, Arroz Basmati Blanco, Naan de Mantequilla;Cordero magallánico macerado en salsa de tomate y cebolla, con finas especias de india, basmati blanco y naan de mantequilla.
sakae - sushi;avenida vitacura 2914 las condes;Salsa Teriyaki;Salsa teriyaki.
Remakeat;Avenida Manquehue Sur 1231;Coca-Cola Sin Azúcar 350 ml;Bebida
Maxidonas;ROSAS 1408 , COMUNA DE SANTIAGO;Vital con Gas 600 ml;Agua
Majú Nikkei;General salvo 30, Providencia;Empanaditas;5 empanadas de masa crujiente rellena de sabor a elección, acompañadas con salsa.
Sunthai Ñuñoa;Pedro de valdivia 2876 Ñuñoa, Región Metropolitana, Chile;Sour Tradicional;Entre 400 a 500 cc aprox.
Dulces Rufiko;Providencia 1705;Banana Split;Mochi relleno con helado artesanal de plátano y un centro de manjar con topping de chocolate.
Pasteleria con C;Av. Pedro de Valdivia 2064, Providencia, Región Metropolitana, Chile;Refresher Infusion Berries;Bebida fría endulzada a base de frutos rojos e hibiscus.
Fat Cat;Gral. Salvo 30, Providencia, Región Metropolitana, Chile;Sprite Zero 350 ml;Bebida
Zaika - Comida Hindu;Gerónimo de Alderete 1121, Vitacura, Región Metropolitana, Chile;Curry Verde de Espinaca;Puedes agregar tu carne, pollo o cualquiera de tus ingredientes favoritos en casa en un curry exclusivo preparado para que lo disfrutes con tu familia.
Mocai Perú;Patria Vieja 0391, Recoleta, Región Metropolitana, Chile;Filete a Lo Pobre;Filete de pollo a la plancha, con arroz, huevo y plátano frito.
WingStreet;Av. Condell 1368, Providencia, Región Metropolitana, Chile;Fanta Zero 350ml;Gaseosas
Paqleo;Av. Italia 686, Providencia, Región Metropolitana, Chile;Servicio de Salsa;Servicio de salsa de la casa para acompañar a tus platos.
COMICS SUSHI AND FOOD;Angamos con Marín 304 Santiago centro, Chile;Fanta  350 ml;Bebida.
Le Baguette;Av Vitacura 2914 las condes;Chips de Papas;Chips de papas .
Mila-Grossa;Av Vitacura 3379, Santiago, Vitacura, Región Metropolitana, Chile;Fanta Naranja 350 ml;Bebida
La Yolita Sanguchería;hernando de magallanes 955;Nordic Mist Ginger Ale Zero 350 ml;Bebida
Bendito Sushi;Av Vitacura 5480, Vitacura, Región Metropolitana, Chile;Promo para 1 (16 Porciones) + Bebida en;1.California ebi: camarón, palta, envuelto en sésamo, masago o ciboulette.2.Chikin roll: pollo, palta, envuelto en palta, y salsa teriyaki.Bebida.
Don Chicken;Santa Isabel 0445, Providencia, Chile;Sprite 1.5 l;Bebida
Mercado Vegano, Tabancura;Nueva los Leones 050;Kombucha Manzana Jengibre 330ml;Kombucha manzana jengibre 330ml
WaiWai;Barón Pierre de Coubertin 44, Santiago, Región Metropolitana, Chile;Armalo a Tu Gusto;Escoge una base, escoge una proteína y vegetales.
Amalfinata Pizza;Los Conquistadores 1730, Local 107.;Cachantun Sin Gas 500 ml;Agua
Fiki Burger;Tobalaba 947, Providencia, Santiago de Chile;Sprite Zero 355cc;Sprite zero 355cc
Artisan Pastelería;Eleuterio Ramírez 710, Santiago, Región Metropolitana, Chile;Brownie Boom;Trío de mini brownies (clásico, oreo y manjar-nuez) tamaño bocado, con topping de manjar y ganache de chocolate.
Karakum Ñuñoa;Irarrázaval 1305, Ñuñoa, Región Metropolitana, Chile;Jugo Naranja;Boca ancha 330 cc .
Churrasco Planet;Tegualda 1836, Ñuñoa, Región Metropolitana, Chile;As Luco;Carne picada su ff.
Florentina Helado Artesanal;Francisco de Aguirre 4375, Vitacura, Chile;Pack Dia Del Padre;1 Litro de helado de manjar chips + 1 litro de sorbet de chocolate.
Santa Burga;Avenida Vitacura 2904, Las Condes, Chile;Papas Fritas;Porcion de papas fritas individual.
Tammy Thai Restaurante;Girardi 1365, Providencia, Región Metropolitana, Chile;Gai Pad (Pollo);Pollo picado, sofrito de verduras, leche de coco, mantequilla de maní, toque de cebollín, toque semilla sésamo, acompañado de arroz jazmín. .
Sushi Lover's;Av. Francisco Bilbao 1181, Providencia, Región Metropolitana, Chile;160 Hand Roll;Proteína a elección, queso crema, cebollín, envoltura a elección
SUSHI HOY;Julio Prado 1935, Ñuñoa, Región Metropolitana, Chile;Ensalada Tasty;Exquisita ensalada con surimi, cubos de salmón y camarón, wakame, palta y sésamo tostado, aderezada con salsas de la casa.
Paninoteca;Nueva Los Leones 33, Providencia, Chile;Sprite 350 ml;Bebida
Universal Burger Av Italia;Rancagua 659, Providencia, Chile;Sprite 350 ml;Bebida
satkar comida de la india;Av. Italia 1325, Providencia, Chile;Chicken Biryani;Arroz basamati de india cocinado con pollo y especies de India
Cursi Donuts;Avenida Manuel Montt 901;Vegan Cursi Pancake;Esponjosa torre de mini pancake hechos con mucho amor y leche de coco. acompañado de frutita de estación, crema vegetal  y salsa a elección.
Fair Play Sports Resto;Rancagua 396, Providencia, Chile;Ceviche Emelec;Camarones ecuatorianos, cebolla, pimentón, leche de tigre.
Aloha Eats Restaurant;Santo Domingo 579, Santiago, Chile;Sprite Zero 350 ml;Bebida
Diparti Pizza;Gral del Canto 312, Providencia, Región Metropolitana, Chile;Coca Cola Original;350cc.
Vego;Buenos Aires 338, Recoleta, Chile;Cannelloni;Ricos Cannelloni rellenes de pure de arvejas y menta gratinados en queso mozzarela vegano con un toque de salsa de bechamel a base de leche de soya
Café Jacinto;Av. Ricardo Lyon 100, Providencia, Región Metropolitana, Chile;Arma tu Completo;Vienesa con 4 ingredientes y salsas a elegir.
Jupiter Bar Pizzeria;Andres Bello 2187, Providencia, Chile;Mahou Sin Alcohol 330 ml;Sin Alcohol
VPizza;Irarrázaval 2401, Ñuñoa, Chile;Kombuchacha Té Verde 500 ml;Té
Sangucheria Bacan;Av. Los leones 2477;Agua Vital Con Gas 600 ml;Agua
