RESTAURANT;DIRECCION;TELEFONO
Romaria Pizzería;Av Vitacura 3396, Vitacura;(2) 2436 7227
Dominó;Hernando de Aguirre 35, Providencia;Telefono no encontrado
Comida China Biyi;Av. Oriental 5876, Penalolen, Peñalolén;(2) 2907 7465
Fork;La Dehesa 1201, Local 107, Lo Barnechea;Telefono no encontrado
Barra Chalaca;Av. Vicuña Mackenna 6100, Local 2060, La Florida;Telefono no encontrado
Fu Lin;Santo Domingo 769, Santiago;(2) 2639 9511
La Tavola Di Manolo;Avenida Apoquindo 5004, Las Condes, Chile;Telefono no encontrado
Johnny Rockets;Avenida Tobalaba 12175, Peñalolen, Local 111;Telefono no encontrado
China Village;Av. Manquehue Sur 1022, Las Condes, Región Metropolitana;(2) 2229 0362
Chicken Love You;Santa Elena 1579, Santiago;9 9375 2604
Comida China Wynn;José Domingo Cañas 1510, Ñuñoa, Región Metropolitana;(2) 2209 0808
La Punta;Quinchamalí 14184, 3, Lo Barnechea, Las Condes, Región Metropolitana;9 9004 3502
Grido;Av. Providencia 2358, Providencia, Chile;Telefono no encontrado
The Work Wings;San Francisco 206, Santiago, Región Metropolitana, Chile;Telefono no encontrado
Oro y Carbón;Bellavista 0894 - Providencia;9 5007 2696
Carl's Jr.;Avenida Vitacura 2751, Las Condes, Chile;(2) 3239 9771
Furay Roll;Piramide 901San Miguel, Región Metropolitana;(2) 3270 6675
LongHui Comida China;San Antonio 533, Santiago, Chile;Telefono no encontrado
Benjamin Alvarado Gastronomia;Teniente Montt 1980, Ñuñoa, Chile;Telefono no encontrado
Javier D'Angelo Kusina;Gerónimo de Alderete 1020, Vitacura, Región Metropolitana, Chile;9 4228 0560
KFC;El Gabino no13551, Lo Barnechea, Chile;600 473 0000
Alpaquitay Restaurant;Amunátegui 371, 8340391 Santiago, Región Metropolitana, Chile;9 4223 9570
Factory Nine;Tabancura 1382, Vitacura;9 7714 1406
Yuzu Sushi;Santa Victoria 365;9 6495 4249
Labibe;Flandes 1828;(2) 2717 6181
Sushimi;Irarrazaval 1998 Ñuñoa;(2) 2969 3803
Torii Sushi;la florida 8775, la florida;9 6185 8778
Pasta Basta;Isidora Goyenechea 2867, Las Condes;(2) 2394 2470
Santo Gohan;Bucarest 104 Providencia;Telefono no encontrado
Niu Sushi;Diecinueve de Abril 3560, Ñuñoa, Región Metropolitana, Chile;(2) 2341 7942
Kitai Sushi;Agustinas 2798 Santiago Región Metropolitana;9 9279 9092
Xiong Chang Comida China;Emilia Téllez 4002 Ñuñoa Región Metropolitana;(2) 2492 7918
Uncle Fletch;Jorge Washington 111, Boulevard Plaza Ñuñoa, Santiago, Chile;9 5428 6770
Comida China Hai Li;Dublé Almeyda 5500Ñuñoa, Región Metropolitana;Telefono no encontrado
Alaska Sushi Fusión;Gral. Jofré 307, Santiago, Región Metropolitana;(2) 3276 9969
Soul of India;Av Vitacura 4111, Vitacura;9 9887 9775
I-Ching;Independencia 1928 Independencia, Región Metropolitana;(2) 2777 9828
Restaurant Junio;Avenida María Rozas Velásquez 405, Quinta Normal, Chile;9 9292 7910
Xin Hua;Irarrázaval 34, Ñuñoa, Chile;(2) 2635 0478
Katsumi Sushi;Av. Salvador 2132, Ñuñoa, Región Metropolitana, Chile;(2) 2904 7080
Pollo Chang;Merced 635, Santiago;(2) 2664 0279
Long Wei;Avenida Los Leones 148, Providencia, Chile;(2) 3216 9830
El Toldo Azul;Tabancura 1530, Vitacura;(2) 2233 2204
Yashiro Sushi;Luis Uribe 2437, Ñuñoa;9 9796 3817
Yonaguni Sushi;Irarrázaval 1998, Ñuñoa, Chile;(2) 2969 3803
Pisco y Sabor;Vicuña Mackenna 1035;(2) 2634 2466
Subway;Av. las Condes 12916, Lo Barnechea, Chile;Telefono no encontrado
El Aguaruna;Av. Manuel Montt 1574 - Providencia;(2) 3266 5323
Masala;Partenón 1727, Vitacura;(2) 2608 2738
Tokyoto sushi merced;Merced 871, Santiago;(2) 2664 1798
La Focaccia;El bosque norte 166, Las Condes;Telefono no encontrado
Tommy Beans;Avenida Presidente Kennedy 9001, Local 3527, Las Condes;(2) 2384 8000
Yun ho;franklin 1148;(2) 2904 7916
Teclados;Irarrázaval 3469, Ñuñoa, Región Metropolitana;(2) 2205 0968
All Rice Food;girardi 1362, providencia;(2) 3339 2621
Mr Kebab;LARRAIN 6741, LA REINA;(2) 2401 0743
Ying Feng Peñalolén;Alcalde Jorge Monckeberg 2317;Telefono no encontrado
Arepas Food & Shop;Carlos Alvarado 7477, Local 9, Las Condes;(2) 2954 9956
Helados Fratelli;Avenida las Condes 12803, Las Condes, Chile Local 10 a 1, piso -1;Telefono no encontrado
El Toldo Azul;Isidora Goyenechea 3200 Las Condes Región Metropolitana;(2) 2233 2204
Rollin Sushi;Luis Beltran 1895 Ñuñoa;(2) 2204 3698
Fukai;EL COIGUE 3886, VITACURA;(2) 2840 8333
Tommy Beans;Av. Presidente Kennedy 5413 local 606C , retiro en Tienda Tommy Beans, patio de comidas 2do piso;Telefono no encontrado
Alto Japón;San francisco 363;9 2001 1118
Dominó;Mar Tirreno 3349, Penalolen, Peñalolén, Chile;Telefono no encontrado
Barbazul;Tobalaba 1155, Providencia;Telefono no encontrado
Jing Shun Comida China;Monjitas 719, Santiago, Chile;(2) 3256 4101
Oakberry Açaí;Alonso de Córdova 4294, Vitacura , Región Metropolitana, Chile;Telefono no encontrado
Cursi Donuts;Avenida Manuel Montt 901;9 6677 2760
Fork;Luis Pasteur 5431, Vitacura;Telefono no encontrado
La Perla Del Pacifico;Av. Kennedy 5413, Local, 372 A, Piso 1, Las Condes;Telefono no encontrado
Wan He;Av. Francisco Bilbao 2718, Providencia, Chile;Telefono no encontrado
Bravissimo;Avenida San Luis de Macul 5318, Peñalolen;(2) 3239 9781
Factory Nine;Los Militares 6040 Las Condes Región Metropolitana;9 4192 6826
Asoko Sushi;Avda Jose Pedro Alesandri 1736 L A;(2) 2721 6273
Pedro Juan & Diego;(OJO: el retiro es por el estacionamiento o el andén de descarga) Av. Larrain 5862, Local FC-4032, La Reina;Telefono no encontrado
ChilMex Mexican Grill;Suarez Mujica 1916 Ñuñoa;(2) 2323 2564
Chicken Factory;Avenida Ossa 1094, Ñuñoa, Santiago;Telefono no encontrado
Rockabilly;Av. La Florida 9321 La Florida, Región metropolitana;(2) 2454 2345
La Punta;Los Abedules 3016, Vitacura, Región Metropolitana, Chile;(2) 2244 5685
Tamashi;Manuel Montt 1593, Providencia;(2) 2416 9465
Tony Roma´s;Avda. Kennedy 5413, Local 370, Las Condes;(2) 3223 8932
Dubai Sushi;BUENAVENTURA 1884;Telefono no encontrado
Waldo's;Nueva de Lyon 45, Local 7;Telefono no encontrado
Chevere y Bakan;carlos ossandon 1635 la reina;9 3495 0333
He Hin;Francisco Bilbao 890, providencia;(2) 2209 2994
Al Jazeera;Huérfanos 1385, Santiago, Región Metropolitana;(2) 2672 4489
Comoenlima;Manuel de Salas 71, Ñuñoa, Región Metropolitana;(2) 2209 8867
Lomo de La Fuente;Av. Vitacura 9083. Vitacura;Telefono no encontrado
Yeka;av salvador 857 providencia region metropolitana chile;9 7757 8712
Ensalada Grill Bistro;Av. José Pedro Alessandri 821 local 16, ñuñoa;9 9275 8373
Little Caesars Pizza;Jose Domingo Cañas 2151 Local C, Ñuñoa;Telefono no encontrado
Wendy's;Encomenderos 300, Las Condes, Región Metropolitana;600 570 0370
Soja Sushi Santiago;Irarrázaval 4846;9 4413 3372
Spicy Food;Diagonal Oriente 1310, local 7. Providencia.;Telefono no encontrado
Don Chicken;Santa Isabel 0445, Providencia, Chile;Telefono no encontrado
Ciudad Vieja;Constitución 92 Providencia Región Metropolitana Chile;(2) 2248 9412
Lasañas Santiago;Zenteno 1199, Santiago, Chile;9 4590 9878
The Pizza Factory;Cerro Colorado 5295;(2) 3210 0778
Fuente Chilena;Avenida Vitacura 5456, Vitacura, Chile;(2) 6469 2487
P.F. Chang's;Isisdora Goyenechea 2940;(2) 2307 6635
La Sopería;GIRARDI 1413 PROVIDENCIA;(2) 2204 6217
Pronto Copec;El Rodeo 2016, Lo Barnechea, Región Metropolitana;800 200 354
Katsumi Sushi & Ceviche;Monseñor Edwards 1638. local 2 la reina;9 5830 3614
Burger King®;Monseñor Edwards 1635, La Reina;(2) 2636 2858
El Peruanito;El Cohiue 3886, Vitacura;Telefono no encontrado
Fushimi Sushi;Arturo Prat 1667 Santiago Región Metropolitana;9 7751 6257
Chicken Factory;Dominica 311, Recoleta, Región Metropolitana, local 1;Telefono no encontrado
Mamma Mia;(OJO: ENTRADA POR EASY Y RETIRO EN BARRA CHALACA)Avenida La Dehesa 1445, Lo Barnechea, Región Metropolitana, Chile, local 1106;Telefono no encontrado
La Estrella;Av. José Pedro Alessandri 1665 Ñuñoa Región Metropolitana;(2) 2727 2483
Sushispop;Simón Bolívar 3702, Ñuñoa;(2) 3277 3958
Arlecchino Pizzas;alférez real 919 providencia;(2) 3265 7583
mi ceviche;paseo orrego luco 42 providencia region metropolitana chile;Telefono no encontrado
Rongji Comida China;Av. Apoquindo 4248, Las Condes, Santiago Metropolitan Region, Chile_;9 8755 5988
Parrilladas Argentina Rotonda Perez Zujovic;Av Vitacura 2985, Las Condes, Región Metropolitana, Chile;(2) 2335 9663
Doggis;Av. las Condes 12373, Las Condes, Chile;Telefono no encontrado
Tobu Sushi Las Condes;La Castellana Sur 53, Las Condes, Región Metropolitana, Chile;(2) 2710 2258
Dunkin';AV. Vitacura 2758, Local 101, Las Condes;Telefono no encontrado
MEXA;Av Vitacura 2653, Las Condes, Región Metropolitana, Chile;(2) 2233 0205
Shawarmas Moha;San Pio X 2389, Providencia;9 3108 9996
Wendy's;Av. Larrain 5862, La Reina, Región Metropolitana Local FC 4033;Telefono no encontrado
Panko;Constitucion 36, Local 52;Telefono no encontrado
