;Nombre Restaurant;URL RESTAURANT
183;Somos Perú Buffet;https://www.rappi.cl/restaurantes/900026674-somos-peru-buffet
184;The Fisherman;https://www.rappi.cl/restaurantes/900029480-the-fisherman
185;Chipe Libre;https://www.rappi.cl/restaurantes/900030354-chipe-libre
186;Chef Chino;https://www.rappi.cl/restaurantes/900030793-chef-chino
187;ming zhu limitada;https://www.rappi.cl/restaurantes/900036583-ming-zhu-limitada
188;Johnny Rockets;https://www.rappi.cl/restaurantes/900036959-johnny-rockets
189;Hua Xing;https://www.rappi.cl/restaurantes/900039444-hua-xing
190;Mr. Wong;https://www.rappi.cl/restaurantes/900041358-mr-wong
191;Tiger Wok;https://www.rappi.cl/restaurantes/900066987-tiger-wok
192;Sushi Lover's;https://www.rappi.cl/restaurantes/900073410-sushi-lovers
193;Maru;https://www.rappi.cl/restaurantes/900014585-maru
194;Labibe;https://www.rappi.cl/restaurantes/900014872-labibe
195;Fuente las Condes;https://www.rappi.cl/restaurantes/900015077-fuente-las-condes
196;Sanguchon Peruano San Diego;https://www.rappi.cl/restaurantes/900015925-sanguchon-peruano-san-diego
197;Tony Roma´s;https://www.rappi.cl/restaurantes/900016017-tony-romas
198;Las Vegas;https://www.rappi.cl/restaurantes/900017388-las-vegas
199;Arepas Food and Shop Providencia;https://www.rappi.cl/restaurantes/900019679-arepas-food-and-shop-providencia
200;Sabores de Mi Barrio;https://www.rappi.cl/restaurantes/900020225-sabores-de-mi-barrio
201;Sayonara;https://www.rappi.cl/restaurantes/900020592-sayonara
202;Santo Gohan;https://www.rappi.cl/restaurantes/900021313-santo-gohan
203;Okui Sushi;https://www.rappi.cl/restaurantes/900025775-okui-sushi
204;Guacamole Tex Mex;https://www.rappi.cl/restaurantes/900025809-guacamole-tex-mex
205;Restaurant Peruano Carlitos;https://www.rappi.cl/restaurantes/900027065-restaurant-peruano-carlitos
206;Satkar;https://www.rappi.cl/restaurantes/900027716-satkar
207;Empanadas RoySar;https://www.rappi.cl/restaurantes/900028623-empanadas-roysar
208;Sayonara Sushi Vip;https://www.rappi.cl/restaurantes/900029234-sayonara-sushi-vip
209;La Popular;https://www.rappi.cl/restaurantes/900036823-la-popular
210;Chicken Love You;https://www.rappi.cl/restaurantes/900037139-chicken-love-you
211;Burger Beef;https://www.rappi.cl/restaurantes/900040411-burger-beef
212;Pandias Kitchen;https://www.rappi.cl/restaurantes/900073161-pandias-kitchen
213;Roof Burger;https://www.rappi.cl/restaurantes/900077722-roof-burger
214;Maycha Cocina Peruana;https://www.rappi.cl/restaurantes/900078742-maycha-cocina-peruana
215;El Toldo Azul;https://www.rappi.cl/restaurantes/900084768-el-toldo-azul
216;Fuente Chilena;https://www.rappi.cl/restaurantes/900014071-fuente-chilena
217;Tu Cevichazo;https://www.rappi.cl/restaurantes/900014632-tu-cevichazo
218;Cora Sushi;https://www.rappi.cl/restaurantes/900016298-cora-sushi
219;Libanazo;https://www.rappi.cl/restaurantes/900018429-libanazo
220;Classic Sushi - San Isidro;https://www.rappi.cl/restaurantes/900018896-classic-sushi-san-isidro
221;Konichi Macul;https://www.rappi.cl/restaurantes/900019518-konichi-macul
222;Da Dino;https://www.rappi.cl/restaurantes/900020015-da-dino
223;Full Appetit;https://www.rappi.cl/restaurantes/900020742-full-appetit
224;Havanna;https://www.rappi.cl/restaurantes/900022883-havanna
225;Pizza Delivery;https://www.rappi.cl/restaurantes/900022899-pizza-delivery
226;De Pana!;https://www.rappi.cl/restaurantes/900023156-de-pana
227;Farina;https://www.rappi.cl/restaurantes/900023447-farina
228;Perú Clásico;https://www.rappi.cl/restaurantes/900029090-peru-clasico
229;Mas Que Hummus;https://www.rappi.cl/restaurantes/900035785-mas-que-hummus
230;El Vegan;https://www.rappi.cl/restaurantes/900040146-el-vegan
231;Delivery Kirasushi;https://www.rappi.cl/restaurantes/900040553-delivery-kirasushi
232;Carrer Nou;https://www.rappi.cl/restaurantes/900040965-carrer-nou
233;KFC;https://www.rappi.cl/restaurantes/900069266-kfc
234;Fork;https://www.rappi.cl/restaurantes/900069364-fork
235;Factory Nine;https://www.rappi.cl/restaurantes/900081666-factory-nine
236;Tradicion Trujillana;https://www.rappi.cl/restaurantes/900082798-tradicion-trujillana
237;Ají y Limón;https://www.rappi.cl/restaurantes/900015041-aji-y-limon
238;Yokono sushi;https://www.rappi.cl/restaurantes/900015432-yokono-sushi
239;Parrilladas Mas y Mas;https://www.rappi.cl/restaurantes/900015959-parrilladas-mas-y-mas
240;Restaurante Los Vikingos;https://www.rappi.cl/restaurantes/900015967-restaurante-los-vikingos
241;Heladería Sebastian;https://www.rappi.cl/restaurantes/900017524-heladeria-sebastian
242;Sugoy Sushi;https://www.rappi.cl/restaurantes/900017837-sugoy-sushi
243;Mamut;https://www.rappi.cl/restaurantes/900019121-mamut
244;Sweetfran;https://www.rappi.cl/restaurantes/900026282-sweetfran
245;Fuente Vicuña;https://www.rappi.cl/restaurantes/900026461-fuente-vicuna
246;Antica Gelateria del Corso;https://www.rappi.cl/restaurantes/900026668-antica-gelateria-del-corso
247;Chef Woo;https://www.rappi.cl/restaurantes/900027811-chef-woo
248;La Enchilada;https://www.rappi.cl/restaurantes/900030416-la-enchilada
249;Guacamole Mexican Grill;https://www.rappi.cl/restaurantes/900032768-guacamole-mexican-grill
250;La Punta;https://www.rappi.cl/restaurantes/900035411-la-punta
251;Poké Life;https://www.rappi.cl/restaurantes/900036547-poke-life
252;Jeangon Sushi;https://www.rappi.cl/restaurantes/900037433-jeangon-sushi
253;Isla Ceviche;https://www.rappi.cl/restaurantes/900037997-isla-ceviche
254;Rubaiyat;https://www.rappi.cl/restaurantes/900039189-rubaiyat
255;Fushimi Sushi;https://www.rappi.cl/restaurantes/900040623-fushimi-sushi
256;Que Ceviche!;https://www.rappi.cl/restaurantes/900040648-que-ceviche
257;Bien Me Sabe;https://www.rappi.cl/restaurantes/900064809-bien-me-sabe
258;Isabella Pizzas Ricas;https://www.rappi.cl/restaurantes/900014921-isabella-pizzas-ricas
259;Autentiko French Tacos;https://www.rappi.cl/restaurantes/900015128-autentiko-french-tacos
260;Carl's Jr.;https://www.rappi.cl/restaurantes/900015587-carls-jr
261;La Ruta del Waffle;https://www.rappi.cl/restaurantes/900016452-la-ruta-del-waffle
262;Feng Lin;https://www.rappi.cl/restaurantes/900016741-feng-lin
263;China Wok;https://www.rappi.cl/restaurantes/900016906-china-wok
264;Pizza Nostra;https://www.rappi.cl/restaurantes/900018499-pizza-nostra
265;Maldita Pizza;https://www.rappi.cl/restaurantes/900019728-maldita-pizza
266;Arabian Fast Food;https://www.rappi.cl/restaurantes/900020240-arabian-fast-food
267;Santiago Sushi;https://www.rappi.cl/restaurantes/900021010-santiago-sushi
268;Sushi Nobu;https://www.rappi.cl/restaurantes/900021501-sushi-nobu
269;Juan y Medio;https://www.rappi.cl/restaurantes/900023306-juan-y-medio
